1789496406.311357	configure	pid=96547 argv=/Users/davidliu/Documents/TradingAgents-AShare/.venv310/lib/python3.10/site-packages/pytest/__main__.py -q -p no:randomly -p dav990_probe tests/test_api_smoke.py tests/test_evidence_relations.py tests/test_evidence_summary.py tests/test_evidence_verifier_fairness.py tests/test_expectation_revision_contract.py tests/test_financial_announce_cutoff.py tests/test_financial_as_of.py tests/test_financial_period_compliance.py tests/test_financial_period_kind.py tests/test_frozen_trade_date_isolation.py tests/test_fund_flow_dispute_tie.py tests/test_fund_flow_evidence.py tests/test_fund_flow_lg_credibility.py tests/test_fund_flow_scale_collector.py tests/test_fund_flow_scale_consumption.py tests/test_fund_flow_scale_metrics.py tests/test_fundamentals_analyst.py tests/test_game_theory_integration.py::test_rt7_single_and_dual_horizon_isolation
1789496409.251736	START	tests/test_api_smoke.py::TestAnalyzeRequestSchema::test_query_field_exists_and_optional
1789496409.364219	FINISH	tests/test_api_smoke.py::TestAnalyzeRequestSchema::test_query_field_exists_and_optional
1789496409.364461	START	tests/test_api_smoke.py::TestAnalyzeRequestSchema::test_query_field_accepts_string
1789496409.365661	FINISH	tests/test_api_smoke.py::TestAnalyzeRequestSchema::test_query_field_accepts_string
1789496409.365840	START	tests/test_api_smoke.py::TestAnalyzeRequestSchema::test_symbol_is_optional
1789496409.366675	FINISH	tests/test_api_smoke.py::TestAnalyzeRequestSchema::test_symbol_is_optional
1789496409.366822	START	tests/test_api_smoke.py::TestAnalyzeRequestSchema::test_dry_run_defaults_false
1789496409.367479	FINISH	tests/test_api_smoke.py::TestAnalyzeRequestSchema::test_dry_run_defaults_false
1789496409.367621	START	tests/test_api_smoke.py::TestAnalyzeEndpoint::test_dry_run_completes
1789496409.529615	FINISH	tests/test_api_smoke.py::TestAnalyzeEndpoint::test_dry_run_completes
1789496409.530601	START	tests/test_api_smoke.py::TestAnalyzeEndpoint::test_query_field_accepted_with_dry_run
1789496409.560266	FINISH	tests/test_api_smoke.py::TestAnalyzeEndpoint::test_query_field_accepted_with_dry_run
1789496409.560494	START	tests/test_api_smoke.py::TestAnalyzeEndpoint::test_missing_symbol_accepted_by_schema
1789496409.580712	FINISH	tests/test_api_smoke.py::TestAnalyzeEndpoint::test_missing_symbol_accepted_by_schema
1789496409.580924	START	tests/test_api_smoke.py::TestAnalyzeEndpoint::test_unauthenticated_uses_local_default_user_fixture
1789496409.601557	FINISH	tests/test_api_smoke.py::TestAnalyzeEndpoint::test_unauthenticated_uses_local_default_user_fixture
1789496409.601743	START	tests/test_api_smoke.py::TestAnalyzeEndpoint::test_missing_auth_rejected_without_default_user_fixture
1789496409.614850	FINISH	tests/test_api_smoke.py::TestAnalyzeEndpoint::test_missing_auth_rejected_without_default_user_fixture
1789496409.615040	START	tests/test_api_smoke.py::TestAnalyzeEndpoint::test_unauthenticated_real_fallback_uses_production_default_user
1789496409.638704	FINISH	tests/test_api_smoke.py::TestAnalyzeEndpoint::test_unauthenticated_real_fallback_uses_production_default_user
1789496409.639054	START	tests/test_api_smoke.py::TestAnalyzeEndpoint::test_selected_analysts_field
1789496409.665512	FINISH	tests/test_api_smoke.py::TestAnalyzeEndpoint::test_selected_analysts_field
1789496409.665730	START	tests/test_api_smoke.py::TestAnalyzeEndpoint::test_dry_run_merges_imported_position_context_for_manual_analysis
1789496409.696743	FINISH	tests/test_api_smoke.py::TestAnalyzeEndpoint::test_dry_run_merges_imported_position_context_for_manual_analysis
1789496409.696984	START	tests/test_api_smoke.py::TestChatCompletionsEndpoint::test_unrecognizable_stock_returns_error
1789496409.716438	FINISH	tests/test_api_smoke.py::TestChatCompletionsEndpoint::test_unrecognizable_stock_returns_error
1789496409.716673	START	tests/test_api_smoke.py::TestChatCompletionsEndpoint::test_valid_stock_dry_run_creates_job
1789496409.744239	FINISH	tests/test_api_smoke.py::TestChatCompletionsEndpoint::test_valid_stock_dry_run_creates_job
1789496409.744435	START	tests/test_api_smoke.py::TestChatCompletionsEndpoint::test_unauthenticated_uses_local_default_user_fixture
1789496411.447423	FINISH	tests/test_api_smoke.py::TestChatCompletionsEndpoint::test_unauthenticated_uses_local_default_user_fixture
